Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,B def,Bitter - DEF,aj425,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,A def,Acid - DEF,aj425,3,,,,,,,,,,,,,,,,,,0,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C1,CONTROL 1,sjr267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C2,CONTROL 2,sjr267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C3,CONTROL 3,sjr267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,M def,Malty - DEF,sjr267,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C4,CONTROL 4,sjr267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,FF def,Fruity Fermented - DEF,sjr267,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C5,CONTROL 5,sjr267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,B def,Bitter - DEF,sjr267,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,A def,Acid - DEF,sjr267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C1,CONTROL 1,cjh263,,,,,,,,,,,,,,,,,,,9.4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C2,CONTROL 2,cjh263,,,,,,,,,,,,,,,,,,,9.4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C3,CONTROL 3,cjh263,,,,,,,,,,,,,,,,,,,9.4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,M def,Malty - DEF,cjh263,,,,,,,,,,,,,1,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C4,CONTROL 4,cjh263,,,,,,,,,,,,,,,,,,,9.4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,FF def,Fruity Fermented - DEF,cjh263,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C5,CONTROL 5,cjh263,,,,,,,,,,,,,,,,,,,9.4,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,B def,Bitter - DEF,cjh263,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,A def,Acid - DEF,cjh263,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C1,CONTROL 1,kg292,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C2,CONTROL 2,kg292,,1,,,,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C3,CONTROL 3,kg292,,,,,,,,2,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,M def,Malty - DEF,kg292,,,,,,,,,,,,,3,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C4,CONTROL 4,kg292,,,,,,,,,,1,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,FF def,Fruity Fermented - DEF,kg292,,,,,,,,,,,,,3,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C5,CONTROL 5,kg292,,,,,,,1,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,B def,Bitter - DEF,kg292,,,,,,,,,,,,,,1,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,A def,Acid - DEF,kg292,3,,,,,,,,,,,,,,,,,,0,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C1,CONTROL 1,dh286,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C2,CONTROL 2,dh286,,,,,,,,,,1,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C3,CONTROL 3,dh286,,,,1,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,M def,Malty - DEF,dh286,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C4,CONTROL 4,dh286,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,FF def,Fruity Fermented - DEF,dh286,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C5,CONTROL 5,dh286,,,,,,,1,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,B def,Bitter - DEF,dh286,,1,,,,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,A def,Acid - DEF,dh286,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C1,CONTROL 1,arw93,,,,,,,,,,1,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C2,CONTROL 2,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C3,CONTROL 3,arw93,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,M def,Malty - DEF,arw93,,,,,,,,,,,,,3,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C4,CONTROL 4,arw93,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,FF def,Fruity Fermented - DEF,arw93,,,,,,,,,3,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C5,CONTROL 5,arw93,,2,,,,,,,,,,,,,,,,,7,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,B def,Bitter - DEF,arw93,,,,,,,,3,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,A def,Acid - DEF,arw93,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C1,CONTROL 1,hmm79,,,,,,,,,,1,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C2,CONTROL 2,hmm79,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C3,CONTROL 3,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,M def,Malty - DEF,hmm79,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C4,CONTROL 4,hmm79,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,FF def,Fruity Fermented - DEF,hmm79,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C5,CONTROL 5,hmm79,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,B def,Bitter - DEF,hmm79,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,A def,Acid - DEF,hmm79,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C1,CONTROL 1,sw38,,1,,,,,,,,,,,,,,,,,8,Slight dryness on roof of mouth
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C2,CONTROL 2,sw38,,,,,,,,,,,,,,,,,,,9.1,Didn't sense any attribute
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C3,CONTROL 3,sw38,,,,,,,,,,,,,,,,,,,9.1,Didn't sense any attribute
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,M def,Malty - DEF,sw38,,,,,,,,,,,,,3,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C4,CONTROL 4,sw38,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,FF def,Fruity Fermented - DEF,sw38,,,,,,,,,2,,,,,,,,,,5.9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,C5,CONTROL 5,sw38,,,,,,,,,,,,,,,,,,,9.2,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,5.9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,A def,Acid - DEF,sw38,3,,,,,,,,,,,,,,,,,,5.9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C1,CONTROL 1,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C2,CONTROL 2,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,C3,CONTROL 3,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,M def,Malty - DEF,krs4,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,C4,CONTROL 4,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,FF def,Fruity Fermented - DEF,krs4,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,C5,CONTROL 5,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,B def,Bitter - DEF,krs4,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,A def,Acid - DEF,krs4,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,2,C1,CONTROL 1,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,4,C2,CONTROL 2,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,6,C3,CONTROL 3,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,8,M def,Malty - DEF,dk657,,,,,,,,,,,,,2,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,9,C4,CONTROL 4,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,7,FF def,Fruity Fermented - DEF,dk657,,,,,,,,,2,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,5,C5,CONTROL 5,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,3,B def,Bitter - DEF,dk657,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK ,1,A def,Acid - DEF,dk657,2,,,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,LO - def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
2,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
3,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
4,MC - def,P615,Milk Carton - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
5,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
6,CK - def,2005,Cooked - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,FL - def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,FE - def,2007,Feed - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
9,R - def,2017,Rancid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Test_Name,Section_Name,Sample_Position,Sample_Name,Product_Name,Panelist_Code,Q1_1__ACID_-_odor_similar_to_buttermilk/yogurt,Q1_2__ASTRINGENT_-_drying__chalky__roughing_of_mouth_tissues,Q1_3__BARNY/COWY_-_unclean_barn_conditions/medicinal_aftertaste_(Comment_ALSO),Q1_4__BITTER-_lingering_aftertaste_as_from_grapefruit/strong_coffee/tonic_water,Q1_5__COOKED_-_from_sweet__pleasant_as_heated_for_hot_chocolate_to_sulfurous,Q1_6__FEED_-_sweet_hay_odor/grassy_flavor_(or_fermented_silage/alcohol),Q1_7__FLAT_-_watery_and/or_tasteless__less_sweet_than_normal_milk_of_this_type,Q1_8__FOREIGN/CHEMICAL_-_chlorine__sanitizer__cow_med___exhaust_fumes__citrus__etc_,Q1_9__FRUITY/FERMENTED_-_pineapple__strawberry__etc___fruity_odor_or_vinegar-like,"Q1_10__LACKS_FRESHNESS-_old-tasting_""blah""_milk_lacking_specific_characteristic",Q1_11__LIGHT_OXIDIZED_-_plasticy_chemical/medicinal_or_tallowy__burnt_feathers,Q1_12__LIPID_OXIDIZED_-_old_oil_odor__may_be_slick_on_lips,Q1_13__MALTY_-_like_GrapeNuts_cereal__malt-balls__-drinks__or_-waffles__or_beer_grains,"Q1_14__MILK_CARTON_-_stale_""refrigerated_air""_odor/taste__cardboard_too_long_in_fridge",Q1_15__RANCID_-_pungent_odor_like_provolone__like_baby_vomit_when_rubbed_to_hot_on_wrist,Q1_16__UNCLEAN_-_putrid_odor_as_of_old_mop_water/dirty_socks__lingering_flavor,Q1_17__COAGULATED-_chunks_on_side_of_cup_when_swirled_-_RATE_0_0,Q1_18__OTHER_-_rate__then_ALSO_describe_in_COMMENTS,Q1_19__OVERALL_FLAVOR_-_if_<9_0__you_MUST_rate_an_Attribute_or_COMMENT,Q3__Comment
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,1,LO - def,Light Oxidized - DEF,nrs13,,,,,,,,,,,2,,,,,,,,3,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,3,C6,CONTROL 6,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,5,C7,CONTROL 7,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,7,MC - def,Milk Carton - DEF,nrs13,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,9,C8,CONTROL 8,nrs13,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,8,CK - def,Cooked - DEF,nrs13,,,,,,,,,,,,,,,,,,2,8,Buttery odor. Cooked?
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,6,FL - def,Flat - DEF,nrs13,,,,,,,2,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,4,FE - def,Feed - DEF,nrs13,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,2,R - def,Rancid - DEF,nrs13,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,2,LO - def,Light Oxidized - DEF,dds85,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,1,C6,CONTROL 6,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,3,C7,CONTROL 7,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,5,MC - def,Milk Carton - DEF,dds85,,2,,,,,,,,,,,,,,,,,7,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,7,C8,CONTROL 8,dds85,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 11032014 Fall 2014,2% WHITE MILK,9,CK - def,Cooked - DEF,dds85,,,,,,,,,,,2,,,,,,,,6,
