Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C2,CONTROL 2,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,FE def,Feed - DEF,kg292,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,R def,Rancid - DEF,kg292,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,B def,Bitter - DEF,kg292,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C3,CONTROL 3,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,MC def,Milk Carton - DEF,kg292,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C4,CONTROL 4,kg292,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C1,CONTROL 1,sjr267,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,CK def,Cooked - DEF,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C2,CONTROL 2,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,FE def,Feed - DEF,sjr267,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,R def,Rancid - DEF,sjr267,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,B def,Bitter - DEF,sjr267,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C3,CONTROL 3,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,MC def,Milk Carton - DEF,sjr267,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C4,CONTROL 4,sjr267,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C1,CONTROL 1,aj425,,,,,,,,,,,,,,,3,,,,0,Nt
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,CK def,Cooked - DEF,aj425,,,,,,,,,,,,,,,,,,,9.6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C2,CONTROL 2,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,FE def,Feed - DEF,aj425,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,R def,Rancid - DEF,aj425,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,B def,Bitter - DEF,aj425,,,,3,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C3,CONTROL 3,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,MC def,Milk Carton - DEF,aj425,,,,,,,,,,,1,,,,,,,,7,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C4,CONTROL 4,aj425,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C1,CONTROL 1,at543,,,,,2,,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,CK def,Cooked - DEF,at543,,,,,,,,,,,,,,,,,,,9.9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C2,CONTROL 2,at543,,,,,,,,,,,,,,,,,,,9.9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,FE def,Feed - DEF,at543,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,R def,Rancid - DEF,at543,2,,,,,,,,,,,,,,,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,B def,Bitter - DEF,at543,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C3,CONTROL 3,at543,,,,,,,,,,,,,,,,,,,9.8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,MC def,Milk Carton - DEF,at543,,,,,,,,,,,,,,3,,,,,6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C4,CONTROL 4,at543,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C1,CONTROL 1,dk657,,,,,,,,,,,,,,,1,,,,4,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,CK def,Cooked - DEF,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,C2,CONTROL 2,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,FE def,Feed - DEF,dk657,,,,,,2,,,,,,,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,R def,Rancid - DEF,dk657,1,,,,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,B def,Bitter - DEF,dk657,,,,,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C3,CONTROL 3,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,MC def,Milk Carton - DEF,dk657,,,,,,,,,1,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C4,CONTROL 4,dk657,,,,,,,,,,,,,,,,,,,10,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C1,CONTROL 1,krs4,,,,,1,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,CK def,Cooked - DEF,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,C2,CONTROL 2,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,FE def,Feed - DEF,krs4,,,,,,1,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,R def,Rancid - DEF,krs4,,,,,,,,,,,,,,,2,,,,1,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,B def,Bitter - DEF,krs4,,,,2,,,,,,,,,,,,,,,3,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C3,CONTROL 3,krs4,,,,,,,1,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,MC def,Milk Carton - DEF,krs4,,,,,,,,,,,,,,2,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C4,CONTROL 4,krs4,,,,,,,,,,,,,,,,,,,9.5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,C1,CONTROL 1,kc663,0,2,0,0,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,CK def,Cooked - DEF,kc663,0,2,0,0,,,,,,,,3,,,,,,,8,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,C2,CONTROL 2,kc663,1,2,0,0,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,FE def,Feed - DEF,kc663,1,2,0,0,3,,,,3,3,,,2,,,,,,6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,R def,Rancid - DEF,kc663,2,2,0,1,2,,,,,,,2,2,,,,,,7,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,B def,Bitter - DEF,kc663,1,3,0,3,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,C3,CONTROL 3,kc663,1,1,0,1,,,,,,1,,,,,,,,,6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,MC def,Milk Carton - DEF,kc663,1,2,0,0,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C4,CONTROL 4,kc663,0,2,0,0,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,3,C1,CONTROL 1,sw38,,,,,,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,1,CK def,Cooked - DEF,sw38,,,,,1.5,,,,,,,,,,,,,,9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,2,C2,CONTROL 2,sw38,,,,,,,1,,,,,,,,,,,,8.9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,4,FE def,Feed - DEF,sw38,,,,,,2,,,,,,,,,,,,,7,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,6,R def,Rancid - DEF,sw38,,,,,,,,,,,,,,,2,,,,6,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,8,B def,Bitter - DEF,sw38,,,,2,,,,,,,,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,9,C3,CONTROL 3,sw38,,,,,,,,,,,,,,1,,,,,8.9,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,7,MC def,Milk Carton - DEF,sw38,,,,,,,,,,,2.5,,,,,,,,5,
Pre-Eval 2% AM 032715 & 041715 Spring 2015,2% WHITE MILK ,5,C4,CONTROL 4,sw38,,,,,,,,,,,,,,,,,,1,8,"Slight maybe acid, buttermilk?"
,,,,,,,,,,,,,,,,,,,,,,,,,
Section Name,2% WHITE MILK ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Number,Sample Name,Product Code,Product Name,Sample Type,,,,,,,,,,,,,,,,,,,,,
1,C5,P611,CONTROL 5,Sample,,,,,,,,,,,,,,,,,,,,,
2,A def,2001,Acid - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
3,C6,P612,CONTROL 6,Sample,,,,,,,,,,,,,,,,,,,,,
4,C7,P613,CONTROL 7,Sample,,,,,,,,,,,,,,,,,,,,,
5,M def,2015,Malty - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
6,FL def,2009,Flat - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
7,LO def,2013,Light Oxidized - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
8,C8,P614,CONTROL 8,Sample,,,,,,,,,,,,,,,,,,,,,
9,FF def,2011,Fruity Fermented - DEF,Sample,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
